gallery,count,percentage
 European Paintings,368984,53.4
 The American Wing,106722,15.4
 Modern and Contemporary Art,52980,7.7
 European Sculpture and Decorative Arts,26645,3.9
Ancient Near Eastern Art,21386,3.1
" Arts of Africa, Oceania, and the Americas",18390,2.7
 Islamic Art,15012,2.2
 The Cloisters,14999,2.2
 Medieval Art,14266,2.1
 Arms and Armor,14208,2.1
 Musical Instruments,10931,1.6
 Egyptian Art,7623,1.1
 Greek and Roman Art,7096,1.0
 Asian Art,6210,0.9
 Drawings and Prints,3450,0.5
 The Robert Lehman Collection,2389,0.3
 Photographs,0,0.0
 The Costume Institute,0,0.0
