crdid,number
437980,6217
437881,6190
437133,5190
438817,4244
437853,4080
436947,3781
436575,3598
435882,3505
435809,3225
488978,3034
12127,3000
436105,2991
489258,2818
435844,2729
438815,2700
436535,2642
11417,2632
486739,2609
437394,2423
486847,2398
10786,2378
337496,2309
437549,2161
438821,2093
467642,2088
438008,2087
435922,2062
10154,2053
10497,2009
437654,1971
459106,1954
436002,1911
483301,1894
11311,1892
14930,1856
459112,1840
10481,1832
337497,1816
488221,1802
437869,1786
11122,1778
488577,1766
437827,1729
436545,1727
488315,1717
484870,1709
253370,1616
10464,1614
436528,1603
489687,1536
438822,1530
437372,1520
196439,1451
10388,1451
482299,1445
436282,1443
544102,1433
544076,1432
488694,1411
459107,1399
482133,1392
486007,1371
435802,1366
437790,1362
267803,1354
437329,1349
484952,1335
436896,1334
437128,1324
481891,1318
436838,1299
337499,1299
10946,1275
436504,1272
459016,1260
435702,1249
459161,1237
81135,1235
10159,1229
10819,1228
486270,1210
16584,1209
437532,1202
486757,1202
11050,1201
449537,1194
336327,1188
544082,1174
470304,1162
39915,1158
255408,1158
459193,1145
459144,1133
436524,1097
266199,1088
435739,1080
435621,1077
42163,1052
318622,1041
437107,1037
487065,1022
486423,1015
486740,1013
436532,993
437127,984
438754,982
11900,973
265904,972
544173,950
482598,949
14931,948
254587,941
259797,924
437878,922
436966,920
336222,919
544090,914
248904,909
337500,908
252890,907
323735,906
254819,902
39328,899
437397,898
459087,897
206399,894
483873,884
11707,875
437880,865
544061,862
15583,853
204758,850
437310,843
437879,841
436533,841
254779,836
488043,836
255275,835
544066,833
436851,831
436244,829
38516,826
10409,819
267010,818
544068,815
436155,814
39901,813
544101,812
254502,811
11234,809
458971,807
12828,807
436530,804
489625,801
459189,800
436616,795
544072,792
438823,788
261941,786
438814,786
337702,784
436526,783
436819,782
337075,780
81139,776
11133,775
334002,770
253348,770
486996,767
437877,764
337064,763
435997,759
81101,758
436139,756
436140,756
486839,754
483434,753
544067,751
437986,747
436527,744
437926,740
337493,735
271570,734
471179,731
10827,727
254896,726
435728,726
436141,717
437108,706
489124,694
437658,693
544075,686
22521,685
488031,684
248132,681
437903,680
466178,678
337491,676
437455,670
488326,670
262720,666
42178,661
437131,659
329230,655
253592,653
544074,644
8489,641
544092,640
437115,639
436483,639
547802,636
329072,632
436965,628
247020,626
544100,626
437124,623
333813,622
437111,621
11619,620
24960,619
490036,617
10843,616
544086,615
467594,614
39325,612
472181,611
437135,609
337069,608
11605,608
459182,602
544079,599
205116,598
437121,598
271615,596
436918,596
39919,594
544085,591
11737,588
264688,586
437535,585
482445,584
9480,583
192727,583
437434,583
437826,581
484362,577
322611,577
337172,574
544070,573
437430,573
488486,572
544099,570
449533,568
451286,567
242006,565
255946,563
247967,560
267193,559
437123,558
81104,557
470309,557
437283,555
436658,555
248268,554
38141,548
337063,547
249228,543
436106,543
11734,543
488319,542
459055,541
310325,534
484760,533
435878,533
10909,532
544071,527
437056,526
324917,525
437998,521
329081,520
322903,518
438005,517
544103,517
544087,516
329077,515
282051,514
437138,514
437975,513
459052,511
248891,511
437112,510
438417,508
247993,507
337494,505
265563,500
458967,498
267775,498
337489,497
465991,496
437110,495
282883,492
248483,492
9317,491
437891,486
250946,484
469960,482
334650,482
16255,482
451023,482
435868,479
470306,477
437125,477
437487,476
13052,475
329074,475
313327,474
544093,473
463188,472
469857,472
459136,471
437984,471
446207,470
450486,469
267530,468
438014,465
266746,465
544091,464
16577,463
265133,462
251929,462
436529,460
13211,458
38583,458
463795,457
79778,456
256255,456
38038,454
37807,449
436820,448
436536,448
198556,446
11797,446
254649,446
81110,445
470313,444
436839,444
337068,442
436573,442
490004,440
437169,438
484544,438
459194,436
482698,436
488755,436
437122,434
437675,433
436446,432
464377,427
435754,424
435896,423
337699,420
490007,418
486345,418
436534,418
44781,417
544094,415
12602,411
247017,408
267842,408
470305,406
38021,406
483484,406
481451,405
38328,405
488089,404
451725,404
38198,403
444812,402
11375,401
436253,399
25111,398
459139,396
437117,395
204804,394
11263,394
482510,393
437384,392
437439,392
459090,391
435839,389
7595,388
265132,387
435831,387
437118,387
81132,385
490034,385
23205,385
336489,384
337071,383
544073,381
24671,380
469887,378
436453,373
464428,371
255658,370
255949,370
544227,370
11383,369
252975,369
437433,369
267748,367
544084,367
436121,365
436840,364
436572,363
464483,363
10793,362
44841,361
435877,359
459093,359
24832,358
11227,357
187784,355
262612,353
42403,352
337105,351
436708,350
42162,350
437105,349
437971,349
40456,349
265726,349
438818,349
470298,347
15590,347
337632,346
324291,346
11476,345
10482,345
14871,344
483038,344
437659,342
310950,342
459184,342
282778,341
466580,340
248166,339
329090,339
193606,339
486014,339
437999,338
336162,338
245787,336
44604,335
333915,335
44833,334
485518,334
436004,334
45434,333
488030,332
44111,332
436576,332
485435,332
489994,331
470310,329
437153,329
283742,329
325688,329
472562,328
480986,328
436964,327
452102,327
435729,326
544098,325
466287,325
435883,324
337725,323
435888,323
435708,322
435641,322
437246,322
22739,321
44858,321
2408,321
11329,320
436970,318
282190,318
307651,317
436022,317
436455,316
17053,316
489307,316
451402,316
489978,315
317618,314
266427,314
437130,314
464369,313
482117,313
10522,312
82419,311
205485,311
435885,310
488570,309
282040,309
468106,309
437136,309
39184,309
192716,308
437385,308
435773,308
271890,307
81103,307
325511,306
436159,306
436156,306
486683,305
482491,305
481986,304
329076,304
470311,303
466251,303
464360,301
22860,301
437672,301
24937,300
459082,300
436866,299
470328,298
466096,297
324289,297
22634,296
483189,294
208816,294
11865,294
22387,293
437426,293
459007,292
469837,292
209329,292
334710,291
21940,291
436448,291
437383,290
459192,289
39649,289
436548,289
11120,288
446648,288
466045,288
337062,288
470314,287
10830,287
437431,287
265550,286
437322,285
44850,285
12138,284
24927,283
438435,283
436961,283
11325,283
544080,283
466105,282
13758,281
438144,280
451042,280
13647,280
255391,279
9334,279
436950,279
483898,278
437656,278
253343,278
435884,278
310279,278
12388,277
437989,277
79595,277
483565,277
451715,277
471061,276
438432,276
436583,276
471904,276
469858,276
486009,275
437824,274
44757,274
312429,274
544089,273
327399,273
81105,273
453344,273
4923,273
435904,272
448183,272
23367,272
436525,271
282756,271
470600,270
437317,270
436322,270
543937,270
459196,270
23216,269
27789,269
10499,269
282043,268
24860,268
437402,268
22932,266
271716,266
23948,265
436095,265
436850,264
266784,264
327066,264
266537,264
310364,264
44842,263
324444,263
544062,262
267426,262
325089,259
191259,259
435622,258
81128,258
335240,256
465966,255
27791,255
437536,255
544088,255
544083,254
3141,254
437244,254
6635,254
311950,254
435848,253
267087,253
336256,253
22876,253
437854,253
438003,252
437490,252
451802,251
459072,251
437587,250
437137,249
437245,247
436293,247
447509,247
38648,247
88645,247
37801,246
79091,246
329079,245
267363,245
464125,245
470308,244
324432,244
475513,244
337498,244
337058,244
470603,243
189164,243
500709,243
436945,243
252452,242
486598,241
437920,241
544081,241
436485,240
269442,240
1997,239
453336,239
436038,239
329075,239
326623,239
81130,239
312336,239
313256,238
469949,238
471911,238
435875,237
312460,237
264711,237
435852,237
448401,236
436176,236
81118,236
436090,236
436531,236
466198,236
337088,236
22405,235
1047,235
436128,234
12015,234
82426,234
269436,234
206918,233
450409,233
436138,233
37609,233
40001,232
437871,232
265166,232
4282,231
436174,231
470599,231
325717,231
326046,231
204533,231
501788,231
322626,230
37849,230
314362,229
311021,229
45432,229
437299,228
437655,228
80591,228
437837,227
324926,227
10574,226
27792,226
544172,226
438002,225
436170,225
437119,225
322890,225
438386,224
466187,224
435879,224
79893,223
329078,223
469844,223
453279,223
436132,223
243823,223
325562,222
313386,222
503046,222
437990,222
265903,222
452111,221
438004,221
435658,221
250551,221
471975,221
310652,221
435871,221
437835,220
313830,220
464607,220
322973,220
466286,219
436963,219
437852,219
438015,218
436910,218
436952,218
437754,218
436491,218
464596,217
3152,217
265465,217
437393,217
435866,217
459205,216
14932,216
435880,216
489403,216
327459,216
436305,216
544171,216
12477,216
437300,216
438007,215
436172,215
437099,215
336773,215
322375,214
267271,214
327434,214
208555,214
15541,214
436052,214
544078,213
437269,213
335663,213
11207,212
483039,212
435683,212
437978,211
436037,210
464604,210
459202,209
435899,209
451379,209
437054,208
6906,208
447000,208
503045,208
459207,207
1674,207
315786,207
466070,207
446642,206
319459,206
437870,205
24907,205
81131,205
437392,205
193506,205
194622,205
16947,205
192729,204
200668,204
336046,204
249186,204
436678,204
24320,203
310563,203
267019,203
437314,202
544096,202
436167,202
81106,202
191843,202
437425,202
24948,201
437528,201
435814,201
253569,201
465937,201
81114,200
24681,200
22275,200
3497,200
436449,200
435752,199
436102,199
314034,199
248876,199
334769,198
437993,198
489559,198
459191,197
453183,197
60007408,197
435725,197
438820,196
437097,196
436895,196
24623,196
435867,196
438816,196
44637,196
437311,195
466124,195
24693,195
591824,195
437868,195
591866,195
468207,195
436435,195
200,194
81112,194
470307,194
436771,194
437429,194
437306,194
469879,193
81107,193
437330,193
12600,193
436173,192
39492,192
436252,192
436603,192
485934,191
313546,191
485914,191
23939,190
503678,190
324027,190
436951,189
464366,188
490759,188
437382,187
436703,187
326374,187
438427,186
266982,186
481504,186
24648,186
466182,186
271954,186
437398,186
256911,186
435724,186
24861,185
464443,185
468633,185
266859,184
459190,184
436853,184
437825,184
24685,184
436745,184
453341,184
13315,184
436574,184
82103,184
437396,183
337061,183
437332,182
319458,181
436880,181
436579,181
436636,181
265556,180
272071,180
437609,179
466311,179
437994,179
199404,178
436258,178
11999,178
256974,177
437470,177
4785,177
310453,177
464559,177
325865,177
252453,176
24813,175
437159,175
437520,175
329229,175
337057,175
466254,175
482599,175
435988,174
437438,174
310073,173
436892,173
437898,173
544214,173
436791,173
316945,173
436570,172
464341,172
24953,172
207667,172
446151,172
271717,172
435976,172
82880,171
435753,171
11789,171
436482,171
436516,171
436634,170
437821,170
81116,169
503676,169
446285,169
436163,169
435963,169
452100,169
503614,168
488596,168
488756,168
544118,167
437371,167
334245,166
81115,166
437377,166
437106,166
466129,166
591843,166
501691,165
464023,165
337700,165
486315,165
437428,165
438000,164
266133,164
435881,164
83442,164
199737,164
450748,163
435898,163
316661,163
206976,163
267757,163
27936,163
437094,162
27790,162
314704,162
206045,161
10425,161
437326,161
437400,161
266102,161
10065,161
1815,161
446191,161
436622,160
486989,160
10150,160
81460,160
266284,160
194432,160
14488,160
82879,159
437473,159
73175,159
437699,159
437638,159
312119,159
14472,159
436944,159
464070,158
435991,158
335287,158
10912,158
201633,158
451101,158
436492,158
436064,157
503219,157
436001,157
322483,157
458998,157
435864,157
473007,156
437525,156
437867,156
464142,156
81781,155
435738,155
436833,155
436158,155
435872,155
437512,155
311237,155
317792,154
44884,154
438028,154
266480,154
451447,154
435874,154
467730,154
501520,154
437833,153
267717,153
83605,153
448938,153
328905,153
329091,152
437526,152
79142,152
436294,152
437460,152
437686,152
437307,152
458978,151
437442,151
467647,151
436222,151
467705,151
38950,151
437942,151
436441,151
437145,151
435614,151
324008,150
309959,150
449214,150
459183,150
503674,149
437914,149
438013,149
435704,149
548264,149
436556,149
79585,149
313658,149
437755,149
437129,149
436675,149
544097,148
337701,148
96434,148
438134,148
11790,148
282234,148
79101,148
487695,148
436546,148
437422,148
13763,147
503385,147
437052,147
265543,147
11396,147
82433,147
436489,147
503283,147
437966,146
591869,146
436869,146
3555,146
591870,146
81453,146
459208,145
438136,145
437749,145
282163,145
437788,145
282004,145
14336,144
24957,144
312290,144
332565,144
435711,144
10501,144
437873,144
11130,144
486636,143
436162,143
435830,143
469836,143
282039,143
482740,143
81127,143
12140,143
486162,142
24865,142
438722,142
591871,142
437437,142
471269,142
437545,142
435853,142
207799,142
438001,141
266709,141
79220,141
437284,141
325710,141
459195,140
468234,140
435714,140
267891,140
435876,140
435962,140
14282,140
81123,140
435970,140
14494,139
437388,139
436166,139
436257,139
451203,139
50897,139
436406,138
265553,138
503672,138
437529,138
310454,138
23026,138
83259,137
488730,137
437704,137
591864,137
435640,137
266644,137
436053,137
437007,136
438026,136
466084,136
317823,136
544210,136
267041,136
436325,136
486842,136
267175,136
437546,136
436934,135
473008,135
436127,135
437261,135
10527,135
436101,135
437985,135
435580,135
436021,135
544442,134
438661,134
435906,133
435693,133
436003,133
436137,133
437304,133
322114,133
436451,132
436653,132
1524,132
437745,132
503348,132
11055,132
437657,131
12649,131
437389,131
437645,131
5630,131
316457,131
544232,131
502377,131
435810,131
205250,131
436180,131
444540,130
437303,130
437404,130
436582,130
436005,130
437175,130
436512,130
283626,130
120028393,130
436986,129
436091,129
337487,129
81137,129
437815,129
435817,129
438098,129
459200,128
13606,128
322603,128
322443,128
437390,128
435599,128
11140,128
437315,127
435909,127
503670,127
256978,127
12004,127
544514,127
266162,127
12121,127
438023,127
437366,126
438546,126
436243,125
204812,125
436571,125
437447,125
312288,125
459110,125
435762,125
435907,124
437381,124
436599,124
544450,124
335668,124
436423,124
81124,124
436041,124
435774,124
435840,123
329227,123
438018,123
81108,123
440723,123
435987,123
435989,123
438449,123
436502,122
437053,122
503202,122
435826,122
437399,122
14049,122
488690,122
437943,122
435665,122
