crdid,number,title,artist,gallery
437980,6217,Cypresses,Vincent van Gogh ,826
437881,6190,Young Woman with a Water Pitcher,Johannes Vermeer ,632
437133,5190,Garden at Sainte-Adresse,Claude Monet ,818
438817,4244,The Dance Class,Edgar Degas ,815
437853,4080,"Venice, from the Porch of Madonna della Salute",Joseph Mallord William Turner ,808
436947,3781,Boating,Édouard Manet,818
436575,3598,View of Toledo,El Greco ,611
435882,3505,Still Life with Apples and a Pot of Primroses,Paul Cézanne,825
435809,3225,The Harvesters,Pieter Bruegel the Elder ,642
488978,3034,Autumn Rhythm (Number 30),Jackson Pollock ,921
12127,3000,Madame X (Madame Pierre Gautreau),John Singer Sargent ,771
436105,2991,The Death of Socrates,Jacques Louis David ,614
489258,2818,The Lighthouse at Two Lights,Edward Hopper ,900
435844,2729,The Musicians,Caravaggio ,624
438815,2700,Madame Georges Charpentier,Auguste Renoir ,824
436535,2642,Wheat Field with Cypresses,Vincent van Gogh ,823
11417,2632,Washington Crossing the Delaware,Emanuel Leutze ,760
486739,2609,Reading at a Table,Pablo Picasso ,901
437394,2423,Aristotle with a Bust of Homer,Rembrandt ,637
486847,2398,Reclining Nude,Amedeo Modigliani ,913
10786,2378,The Beeches,Asher Brown Durand ,759
337496,2309,The Head of the Virgin in Three-Quarter View Facing Right,Leonardo da Vinci ,0
437549,2161,Wheat Fields,Jacob van Ruisdael ,634
438821,2093,Ia Orana Maria (Hail Mary),Paul Gauguin ,826
467642,2088,The Unicorn in Captivity (from the Unicorn Tapestries),0,17
438008,2087,Water Lilies,Claude Monet ,822
435922,2062,Salisbury Cathedral from the Bishop's Grounds,John Constable ,808
10154,2053,"The Rocky Mountains, Lander's Peak",Albert Bierstadt ,760
10497,2009,0,Thomas Cole ,759
437654,1971,Circus Sideshow,Georges Seurat ,826
459106,1954,0,Jean Auguste Dominique Ingres ,957
436002,1911,Woman with a Parrot,Gustave Courbet ,811
483301,1894,"Nasturtiums with the Painting ""Dance"" I",Henri Matisse ,830
11311,1892,Lake George,John Frederick Kensett ,761
14930,1856,"Celia Thaxter's Garden, Isles of Shoals, Maine",Childe Hassam ,769
459112,1840,Two Young Girls at the Piano,Auguste Renoir ,964
10481,1832,Heart of the Andes,Frederic Edwin Church ,760
337497,1816,Studies for the Libyan Sibyl (recto); Studies for the Libyan Sibyl and a small Sketch for a Seated Figure (verso),Michelangelo Buonarroti ,0
488221,1802,Gertrude Stein,Pablo Picasso ,911
437869,1786,"Juan de Pareja (born about 1610, died 1670)",0,610
11122,1778,The Gulf Stream,Winslow Homer ,767
488577,1766,The Midnight Ride of Paul Revere,Grant Wood ,900
437827,1729,Venus and the Lute Player,Titian ,607
436545,1727,0,Goya ,612
488315,1717,I Saw the Figure 5 in Gold,Charles Demuth ,902
484870,1709,Temple Gardens,Paul Klee ,0
253370,1616,Marble statue of a kouros (youth),Archaic,154
10464,1614,At the Seaside,William Merritt Chase ,769
436528,1603,Irises,Vincent van Gogh ,0
489687,1536,The Terrace at Vernonnet,Pierre Bonnard ,0
438822,1530,The Repast of the Lion,Henri Rousseau ,826
437372,1520,Madonna and Child Enthroned with Saints,Raphael ,609
196439,1451,The Little Fourteen-Year-Old Dancer,Edgar Degas ,815
10388,1451,The Cup of Tea,Mary Cassatt ,768
482299,1445,A Storm,Georgia O'Keeffe ,0
436282,1443,The Crucifixion; The Last Judgment,Jan van Eyck ,641
544102,1433,Symbols of Regeneration: Nile Turtle Amulet,Middle Kingdom,111
544076,1432,Artist's Sketch of Pharaoh Spearing a Lion,"New Kingdom, Ramesside",124
488694,1411,"Cow's Skull: Red, White, and Blue",Georgia O'Keeffe ,900
459107,1399,Houses on the Achterzaan,Claude Monet ,957
482133,1392,Stepping Out,Roy Lichtenstein ,924
486007,1371,Report from Rockport,Stuart Davis ,0
435802,1366,Portrait of a Young Man,Bronzino ,609
437790,1362,Allegory of the Planets and Continents,Giovanni Battista Tiepolo ,622
267803,1354,The Flatiron,Edward J. Steichen ,0
437329,1349,The Abduction of the Sabine Women,Nicolas Poussin ,617
484952,1335,Self-Portrait,Andy Warhol ,0
436896,1334,Portrait of a Woman with a Man at a Casement,Fra Filippo Lippi ,604
437128,1324,The Houses of Parliament (Effect of Fog),Claude Monet ,0
481891,1318,The Block,Romare Bearden ,0
436838,1299,The Fortune Teller,Georges de La Tour ,617
337499,1299,The Lake of Zug,Joseph Mallord William Turner ,0
10946,1275,A Gorge in the Mountains (Kauterskill Clove),Sanford Robinson Gifford ,761
436504,1272,The Adoration of the Magi,Giotto di Bondone ,602
459016,1260,The Annunciation,Botticelli ,959
435702,1249,The Horse Fair,Rosa Bonheur ,812
459161,1237,Olive Trees at Collioure,Henri Matisse ,0
81135,1235,Evening dress,0,0
10159,1229,Fur Traders Descending the Missouri,George Caleb Bingham ,0
10819,1228,The Champion Single Sculls (Max Schmitt in a Single Scull),Thomas Eakins ,767
486270,1210,The Studio (Vase before a Window),Georges Braque ,823
16584,1209,George Washington,Gilbert Stuart ,753
437532,1202,0,Peter Paul Rubens ,628
486757,1202,Bird in Space,Constantin Brancusi ,913
11050,1201,Approaching Thunder Storm,Martin Johnson Heade ,761
449537,1194,Mihrab (Prayer Niche),     Mihrab,455
336327,1188,Corridor in the Asylum,Vincent van Gogh ,0
544082,1174,Jerboa figurine,Middle Kingdom,111
470304,1162,Annunciation Triptych (Merode Altarpiece),Workshop of Robert Campin ,19
39915,1158,None,Attributed to Qu Ding ,0
255408,1158,Bronze statuette of a veiled and masked dancer,Hellenistic,0
459193,1145,Road in Etten,Vincent van Gogh ,0
459144,1133,The Palace of Westminster,0,0
436524,1097,Sunflowers,Vincent van Gogh ,826
266199,1088,The Road West,Dorothea Lange ,0
435739,1080,The Toilette of Venus,0,616
435621,1077,Joan of Arc,Jules Bastien-Lepage ,800
42163,1052,None,Tang dynasty ,208
318622,1041,Queen Mother Pendant Mask: Iyoba,th century,352
437107,1037,Landscape: The Parc Monceau,Claude Monet ,818
487065,1022,White Flag,Jasper Johns ,922
486423,1015,Woman with a Cat,0,913
486740,1013,Ariadne,Giorgio de Chirico ,901
436532,993,Self-Portrait with a Straw Hat (obverse: The Potato Peeler),Vincent van Gogh ,826
437127,984,Bridge over a Pond of Water Lilies,Claude Monet ,819
438754,982,Madonna and Child,Duccio di Buoninsegna ,625
11900,973,"Moonlight on Mount Lafayette, New Hampshire",William Trost Richards ,0
265904,972,[Fontainebleau Forest],0,0
544173,950,Statuette of a striding man,Middle Kingdom,111
482598,949,The Mountain,Balthus ,900
14931,948,A Rose,Thomas Anshutz ,768
254587,941,Marble seated harp player,0,151
259797,924,"11:00 A.M. Monday, May 9th, 1910. Newsies at Skeeter's Branch, Jefferson near Franklin. They were all smoking. Location: St. Louis, Missouri.",Lewis Hine ,0
437878,922,A Maid Asleep,Johannes Vermeer ,632
436966,920,The Adoration of the Shepherds,Andrea Mantegna ,606
336222,919,Adam and Eve,0,0
544090,914,Cosmetic Dish in the Shape of a Trussed Duck,"New Kingdom, Amarna Period",121
248904,909,Terracotta krater,uted to the Hirschfeld Workshop,150
337500,908,Lady Lilith,Dante Gabriel Rossetti ,0
252890,907,Marble grave stele of a little girl,Classical,156
323735,906,Standing male worshiper,Early Dynastic I-II,0
254819,902,Marble sarcophagus with the Triumph of Dionysos and the Seasons,"Late Imperial, Gallienic",162
39328,899,Shiva as Lord of Dance (Nataraja),Chola period ,240
437397,898,Self-Portrait,Rembrandt ,634
459087,897,Christ Carrying the Cross,El Greco ,0
206399,894,Bacchanal: A Faun Teased by Children,Gian Lorenzo Bernini ,534
